date,Australia,Canada,Portugal,United Kingdom,United States,Russian Federation,South Africa
1990,137,150,267,97,188,238,365
1991,123,135,286,85,165,252,355
1992,113,128,274,78,154,245,318
1993,111,125,240,70,156,250,287
1994,109,111,222,67,156,239,247
1995,111,113,242,66,159,221,252
1996,108,103,241,65,158,199,243
1997,95,101,222,65,158,188,235
1998,94,97,213,62,154,198,216
1999,93,98,200,62,153,203,247
2000,95,95,186,62,149,203,196
2001,90,90,161,63,148,213,253
2002,87,93,165,63,149,228,270
2003,82,87,148,62,147,248,268
2004,79,85,124,57,146,241,274
2005,81,91,118,55,147,237,301
2006,78,89,104,55,143,230,325
2007,77,83,81,50,136,235,312
2008,68,82,83,43,123,211,287
